ID,Timestamp,Days,Hours,Minutes,RawData
C1,1,0,0,0,###C1#T0#S2_3.94#T1#S3_32.8#T2#S1_117.91_A11#T3#S1_104.48_A11#T4#S1_112.30_A11#T5#S1_117.04_A11#T6#S1_122.54_A11#E#
C1,301,0,0,5,###C1#T0#S2_3.94#T1#S3_32.5#T2#S1_93.36_A11#T3#S1_81.63_A11#T4#S1_88.21_A11#T5#S1_91.76_A11#T6#S1_95.47_A11#E#
C1,601,0,0,10,###C1#T0#S2_3.94#T1#S3_32.5#T2#S1_70.17_A11#T3#S1_58.95_A11#T4#S1_64.77_A11#T5#S1_67.51_A11#T6#S1_69.98_A11#E#
C1,901,0,0,15,###C1#T0#S2_3.94#T1#S3_32.3#T2#S1_119.50_A11#T3#S1_104.17_A11#T4#S1_113.50_A11#T5#S1_117.89_A11#T6#S1_124.63_A11#E#
C1,1201,0,0,20,###C1#T0#S2_3.94#T1#S3_32.3#T2#S1_98.99_A11#T3#S1_40.06_A11#T4#S1_92.12_A11#T5#S1_96.04_A11#T6#S1_101.15_A11#E#
C1,1501,0,0,25,###C1#T0#S2_3.94#T1#S3_32.3#T2#S1_66.70_A11#T3#S1_38.15_A11#T4#S1_60.73_A11#T5#S1_63.45_A11#T6#S1_65.93_A11#E#
C1,1801,0,0,30,###C1#T0#S2_3.94#T1#S3_32.3#T2#S1_95.49_A11#T3#S1_35.40_A11#T4#S1_85.66_A11#T5#S1_91.49_A11#T6#S1_96.96_A11#E#
C1,2101,0,0,35,###C1#T0#S2_3.94#T1#S3_32.5#T2#S1_80.50_A11#T3#S1_30.23_A11#T4#S1_34.48_A11#T5#S1_75.18_A11#T6#S1_80.96_A11#E#
C1,2401,0,0,40,###C1#T0#S2_3.94#T1#S3_32.5#T2#S1_115.18_A11#T3#S1_35.03_A11#T4#S1_40.34_A11#T5#S1_111.73_A11#T6#S1_120.59_A11#E#
C1,2701,0,0,45,###C1#T0#S2_3.94#T1#S3_33.0#T2#S1_83.48_A11#T3#S1_35.71_A11#T4#S1_40.10_A11#T5#S1_77.61_A11#T6#S1_84.26_A11#E#
C1,3001,0,0,50,###C1#T0#S2_3.94#T1#S3_33.5#T2#S1_85.97_A11#T3#S1_33.32_A11#T4#S1_36.84_A11#T5#S1_53.88_A11#T6#S1_86.42_A11#E#
C1,3301,0,0,55,###C1#T0#S2_3.94#T1#S3_34.3#T2#S1_75.74_A11#T3#S1_29.24_A11#T4#S1_33.11_A11#T5#S1_34.83_A11#T6#S1_75.56_A11#E#
C1,3601,0,1,0,###C1#T0#S2_3.94#T1#S3_34.5#T2#S1_90.27_A11#T3#S1_27.77_A11#T4#S1_30.97_A11#T5#S1_32.93_A11#T6#S1_64.01_A11#E#
C1,3901,0,1,5,###C1#T0#S2_3.94#T1#S3_35.0#T2#S1_90.84_A11#T3#S1_25.94_A11#T4#S1_29.17_A11#T5#S1_30.88_A11#T6#S1_32.95_A11#E#
C1,4201,0,1,10,###C1#T0#S2_3.94#T1#S3_35.5#T2#S1_86.91_A11#T3#S1_23.14_A11#T4#S1_24.22_A11#T5#S1_24.67_A11#T6#S1_25.48_A11#E#
C1,4501,0,1,15,###C1#T0#S2_3.94#T1#S3_36.0#T2#S1_94.59_A11#T3#S1_22.66_A11#T4#S1_25.36_A11#T5#S1_26.71_A11#T6#S1_27.55_A11#E#
C1,4801,0,1,20,###C1#T0#S2_3.94#T1#S3_36.3#T2#S1_94.00_A11#T3#S1_22.90_A11#T4#S1_25.53_A11#T5#S1_26.35_A11#T6#S1_27.10_A11#E#
C1,5101,0,1,25,###C1#T0#S2_3.94#T1#S3_36.8#T2#S1_91.63_A11#T3#S1_24.37_A11#T4#S1_26.80_A11#T5#S1_27.69_A11#T6#S1_27.67_A11#E#
C1,5401,0,1,30,###C1#T0#S2_3.94#T1#S3_36.8#T2#S1_86.09_A11#T3#S1_22.77_A11#T4#S1_25.40_A11#T5#S1_25.68_A11#T6#S1_25.96_A11#E#
