ID,Timestamp,Days,Hours,Minutes,RawData
C1,1,0,0,0,###C1#T0#S2_3.94#T1#S3_32.3#T2#S1_167.24_A11#T3#S1_151.93_A11#T4#S1_163.56_A11#T5#S1_162.12_A11#T6#S1_150.43_A11#E#
C1,301,0,0,5,###C1#T0#S2_3.94#T1#S3_31.8#T2#S1_169.28_A11#T3#S1_154.06_A11#T4#S1_165.99_A11#T5#S1_164.48_A11#T6#S1_152.83_A11#E#
C1,601,0,0,10,###C1#T0#S2_3.94#T1#S3_31.3#T2#S1_171.67_A11#T3#S1_156.07_A11#T4#S1_168.55_A11#T5#S1_167.78_A11#T6#S1_156.22_A11#E#
C1,901,0,0,15,###C1#T0#S2_3.94#T1#S3_30.8#T2#S1_171.98_A11#T3#S1_156.62_A11#T4#S1_169.74_A11#T5#S1_169.45_A11#T6#S1_159.31_A11#E#
C1,1201,0,0,20,###C1#T0#S2_3.94#T1#S3_30.5#T2#S1_171.58_A11#T3#S1_156.52_A11#T4#S1_169.26_A11#T5#S1_169.96_A11#T6#S1_159.68_A11#E#
C1,1501,0,0,25,###C1#T0#S2_3.94#T1#S3_30.3#T2#S1_175.23_A11#T3#S1_159.96_A11#T4#S1_173.07_A11#T5#S1_174.48_A11#T6#S1_164.21_A11#E#
C1,1801,0,0,30,###C1#T0#S2_3.94#T1#S3_30.3#T2#S1_175.05_A11#T3#S1_160.01_A11#T4#S1_173.72_A11#T5#S1_175.09_A11#T6#S1_164.93_A11#E#
C1,2101,0,0,35,###C1#T0#S2_3.94#T1#S3_30.3#T2#S1_175.65_A11#T3#S1_160.76_A11#T4#S1_173.83_A11#T5#S1_176.16_A11#T6#S1_164.88_A11#E#
C1,2401,0,0,40,###C1#T0#S2_3.94#T1#S3_30.3#T2#S1_177.82_A11#T3#S1_163.38_A11#T4#S1_176.61_A11#T5#S1_178.78_A11#T6#S1_168.26_A11#E#
C1,2701,0,0,45,###C1#T0#S2_3.94#T1#S3_30.3#T2#S1_179.72_A11#T3#S1_165.03_A11#T4#S1_178.59_A11#T5#S1_181.21_A11#T6#S1_170.52_A11#E#
C1,3001,0,0,50,###C1#T0#S2_3.94#T1#S3_30.5#T2#S1_180.77_A11#T3#S1_166.10_A11#T4#S1_180.09_A11#T5#S1_183.10_A11#T6#S1_172.54_A11#E#
C1,3301,0,0,55,###C1#T0#S2_3.94#T1#S3_30.5#T2#S1_182.22_A11#T3#S1_167.52_A11#T4#S1_181.58_A11#T5#S1_184.66_A11#T6#S1_174.07_A11#E#
C1,3601,0,1,0,###C1#T0#S2_3.94#T1#S3_30.5#T2#S1_183.30_A11#T3#S1_168.96_A11#T4#S1_182.97_A11#T5#S1_185.93_A11#T6#S1_175.44_A11#E#
C1,3901,0,1,5,###C1#T0#S2_3.94#T1#S3_30.5#T2#S1_183.97_A11#T3#S1_169.79_A11#T4#S1_183.43_A11#T5#S1_186.85_A11#T6#S1_176.81_A11#E#
C1,4201,0,1,10,###C1#T0#S2_3.94#T1#S3_30.3#T2#S1_184.74_A11#T3#S1_170.06_A11#T4#S1_183.45_A11#T5#S1_187.28_A11#T6#S1_177.08_A11#E#
C1,4501,0,1,15,###C1#T0#S2_3.94#T1#S3_30.3#T2#S1_186.51_A11#T3#S1_172.46_A11#T4#S1_185.77_A11#T5#S1_188.76_A11#T6#S1_179.84_A11#E#
C1,4801,0,1,20,###C1#T0#S2_3.94#T1#S3_30.3#T2#S1_186.08_A11#T3#S1_172.13_A11#T4#S1_185.53_A11#T5#S1_188.78_A11#T6#S1_179.99_A11#E#
C1,5101,0,1,25,###C1#T0#S2_3.94#T1#S3_30.3#T2#S1_183.68_A11#T3#S1_170.08_A11#T4#S1_183.31_A11#T5#S1_186.62_A11#T6#S1_178.06_A11#E#
C1,5401,0,1,30,###C1#T0#S2_3.94#T1#S3_30.5#T2#S1_188.73_A11#T3#S1_175.38_A11#T4#S1_188.24_A11#T5#S1_191.66_A11#T6#S1_183.82_A11#E#
C1,5701,0,1,35,###C1#T0#S2_3.94#T1#S3_30.5#T2#S1_187.54_A11#T3#S1_174.35_A11#T4#S1_187.57_A11#T5#S1_190.84_A11#T6#S1_183.33_A11#E#
C1,6001,0,1,40,###C1#T0#S2_3.94#T1#S3_30.8#T2#S1_187.84_A11#T3#S1_174.49_A11#T4#S1_187.74_A11#T5#S1_191.32_A11#T6#S1_184.20_A11#E#
C1,6301,0,1,45,###C1#T0#S2_3.94#T1#S3_30.8#T2#S1_186.33_A11#T3#S1_173.15_A11#T4#S1_185.68_A11#T5#S1_189.66_A11#T6#S1_183.35_A11#E#
C1,6601,0,1,50,###C1#T0#S2_3.94#T1#S3_31.0#T2#S1_189.60_A11#T3#S1_176.51_A11#T4#S1_189.27_A11#T5#S1_192.80_A11#T6#S1_186.72_A11#E#
C1,6901,0,1,55,###C1#T0#S2_3.94#T1#S3_31.0#T2#S1_182.46_A11#T3#S1_169.66_A11#T4#S1_181.72_A11#T5#S1_185.37_A11#T6#S1_179.88_A11#E#
